CODE,DAY,MONTH,YEAR,VALUE,TYPE
ELETRO12_CEETCOM12,1,12,2017,481.79,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2018,462.68,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2018,450.79,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2018,450.95,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2018,458.99,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2018,474.03,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2018,503.71,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2018,534.31,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2018,543.721539880144,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2018,548.72016570624,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2018,550.98121251092,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2018,536.822463009615,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2018,518.994245172737,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2019,512.503766695707,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2019,512.489155511914,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2019,516.375521645014,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2019,523.690445821097,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2019,532.421658211589,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2019,541.978781928078,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2019,546.398693472566,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2019,567.663946202728,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2019,570.8,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2019,559.325420026821,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2019,554.782753802832,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2019,549.528255355866,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2020,540.937363002856,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2020,534.41020568191,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2020,528.937804252592,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2020,535.075737255994,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2020,538.042573856899,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2020,540.379107348095,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2020,544.824176931519,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2020,550.09101719212,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2020,547.24643253632,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2020,547.357694680074,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2020,556.892242589366,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2020,585.93754246156,VALUE (R$)
ELETRO12_CEETCOM12,1,1,2021,602.58939394571,VALUE (R$)
ELETRO12_CEETCOM12,1,2,2021,561.101747490467,VALUE (R$)
ELETRO12_CEETCOM12,1,3,2021,567.324097802084,VALUE (R$)
ELETRO12_CEETCOM12,1,4,2021,568.126174995199,VALUE (R$)
ELETRO12_CEETCOM12,1,5,2021,588.372605260229,VALUE (R$)
ELETRO12_CEETCOM12,1,6,2021,620.351574050543,VALUE (R$)
ELETRO12_CEETCOM12,1,7,2021,656.749788944806,VALUE (R$)
ELETRO12_CEETCOM12,1,8,2021,685.758475949566,VALUE (R$)
ELETRO12_CEETCOM12,1,9,2021,710.100748747788,VALUE (R$)
ELETRO12_CEETCOM12,1,10,2021,741.652656790427,VALUE (R$)
ELETRO12_CEETCOM12,1,11,2021,744.113316458699,VALUE (R$)
ELETRO12_CEETCOM12,1,12,2021,747.617140586245,VALUE (R$)
ELETRO12_CEETIND12,1,1,2000,73.9704927,VALUE (R$)
ELETRO12_CEETIND12,1,2,2000,71.3138677,VALUE (R$)
ELETRO12_CEETIND12,1,3,2000,72.6913906,VALUE (R$)
ELETRO12_CEETIND12,1,4,2000,73.9557094,VALUE (R$)
ELETRO12_CEETIND12,1,5,2000,78.3670203,VALUE (R$)
ELETRO12_CEETIND12,1,6,2000,77.9802859,VALUE (R$)
ELETRO12_CEETIND12,1,7,2000,79.5798248,VALUE (R$)
ELETRO12_CEETIND12,1,8,2000,78.7824676,VALUE (R$)
ELETRO12_CEETIND12,1,9,2000,82.2060907,VALUE (R$)
ELETRO12_CEETIND12,1,10,2000,81.7038888,VALUE (R$)
ELETRO12_CEETIND12,1,11,2000,81.5721081,VALUE (R$)
ELETRO12_CEETIND12,1,12,2000,81.5451692,VALUE (R$)
ELETRO12_CEETIND12,1,1,2001,81.4732128,VALUE (R$)
ELETRO12_CEETIND12,1,2,2001,80.4251318,VALUE (R$)
ELETRO12_CEETIND12,1,3,2001,80.9189701,VALUE (R$)
ELETRO12_CEETIND12,1,4,2001,81.00117,VALUE (R$)
ELETRO12_CEETIND12,1,5,2001,88.733462,VALUE (R$)
ELETRO12_CEETIND12,1,6,2001,91.7542963,VALUE (R$)
ELETRO12_CEETIND12,1,7,2001,95.7104632,VALUE (R$)
ELETRO12_CEETIND12,1,8,2001,94.415088,VALUE (R$)
ELETRO12_CEETIND12,1,9,2001,96.2489795,VALUE (R$)
ELETRO12_CEETIND12,1,10,2001,96.3870689,VALUE (R$)
ELETRO12_CEETIND12,1,11,2001,98.7898592,VALUE (R$)
ELETRO12_CEETIND12,1,12,2001,95.51862,VALUE (R$)
ELETRO12_CEETIND12,1,1,2002,98.5808655,VALUE (R$)
ELETRO12_CEETIND12,1,2,2002,98.2962153,VALUE (R$)
ELETRO12_CEETIND12,1,3,2002,97.0783564,VALUE (R$)
ELETRO12_CEETIND12,1,4,2002,98.0663813,VALUE (R$)
ELETRO12_CEETIND12,1,5,2002,105.328523,VALUE (R$)
ELETRO12_CEETIND12,1,6,2002,105.173685,VALUE (R$)
ELETRO12_CEETIND12,1,7,2002,105.982287,VALUE (R$)
ELETRO12_CEETIND12,1,8,2002,106.819592,VALUE (R$)
ELETRO12_CEETIND12,1,9,2002,108.476051,VALUE (R$)
ELETRO12_CEETIND12,1,10,2002,109.818086,VALUE (R$)
ELETRO12_CEETIND12,1,11,2002,112.044391,VALUE (R$)
ELETRO12_CEETIND12,1,12,2002,107.7292,VALUE (R$)
ELETRO12_CEETIND12,1,1,2003,115.331602,VALUE (R$)
ELETRO12_CEETIND12,1,2,2003,114.589989,VALUE (R$)
ELETRO12_CEETIND12,1,3,2003,115.547235,VALUE (R$)
ELETRO12_CEETIND12,1,4,2003,117.15648,VALUE (R$)
ELETRO12_CEETIND12,1,5,2003,133.352034,VALUE (R$)
ELETRO12_CEETIND12,1,6,2003,135.572129,VALUE (R$)
ELETRO12_CEETIND12,1,7,2003,136.486537,VALUE (R$)
ELETRO12_CEETIND12,1,8,2003,139.374997,VALUE (R$)
ELETRO12_CEETIND12,1,9,2003,140.603447,VALUE (R$)
ELETRO12_CEETIND12,1,10,2003,140.054946,VALUE (R$)
ELETRO12_CEETIND12,1,11,2003,142.330554,VALUE (R$)
ELETRO12_CEETIND12,1,12,2003,135.743321,VALUE (R$)
ELETRO12_CEETIND12,1,1,2004,141.667915,VALUE (R$)
ELETRO12_CEETIND12,1,2,2004,151.80798,VALUE (R$)
ELETRO12_CEETIND12,1,3,2004,140.506034,VALUE (R$)
ELETRO12_CEETIND12,1,4,2004,144.924622,VALUE (R$)
ELETRO12_CEETIND12,1,5,2004,161.356145,VALUE (R$)
ELETRO12_CEETIND12,1,6,2004,160.246197,VALUE (R$)
ELETRO12_CEETIND12,1,7,2004,162.433118,VALUE (R$)
ELETRO12_CEETIND12,1,8,2004,165.52674,VALUE (R$)
ELETRO12_CEETIND12,1,9,2004,166.461778,VALUE (R$)
ELETRO12_CEETIND12,1,10,2004,169.14636,VALUE (R$)
ELETRO12_CEETIND12,1,11,2004,170.052645,VALUE (R$)
ELETRO12_CEETIND12,1,12,2004,163.951143,VALUE (R$)
ELETRO12_CEETIND12,1,1,2005,174.820363,VALUE (R$)
ELETRO12_CEETIND12,1,2,2005,176.539047,VALUE (R$)
ELETRO12_CEETIND12,1,3,2005,175.715528,VALUE (R$)
ELETRO12_CEETIND12,1,4,2005,178.224946,VALUE (R$)
ELETRO12_CEETIND12,1,5,2005,196.510298,VALUE (R$)
ELETRO12_CEETIND12,1,6,2005,198.173309,VALUE (R$)
ELETRO12_CEETIND12,1,7,2005,195.426075,VALUE (R$)
ELETRO12_CEETIND12,1,8,2005,196.074156,VALUE (R$)
ELETRO12_CEETIND12,1,9,2005,201.399522,VALUE (R$)
ELETRO12_CEETIND12,1,10,2005,204.050879,VALUE (R$)
ELETRO12_CEETIND12,1,11,2005,204.3721,VALUE (R$)
ELETRO12_CEETIND12,1,12,2005,196.933156,VALUE (R$)
ELETRO12_CEETIND12,1,1,2006,203.296696,VALUE (R$)
ELETRO12_CEETIND12,1,2,2006,198.428621,VALUE (R$)
ELETRO12_CEETIND12,1,3,2006,198.694503,VALUE (R$)
ELETRO12_CEETIND12,1,4,2006,201.500381,VALUE (R$)
ELETRO12_CEETIND12,1,5,2006,219.612778,VALUE (R$)
ELETRO12_CEETIND12,1,6,2006,216.101094,VALUE (R$)
ELETRO12_CEETIND12,1,7,2006,219.992408,VALUE (R$)
ELETRO12_CEETIND12,1,8,2006,220.598431,VALUE (R$)
ELETRO12_CEETIND12,1,9,2006,223.080707,VALUE (R$)
ELETRO12_CEETIND12,1,10,2006,222.467789,VALUE (R$)
ELETRO12_CEETIND12,1,11,2006,224.529262,VALUE (R$)
ELETRO12_CEETIND12,1,12,2006,214.137062,VALUE (R$)
ELETRO12_CEETIND12,1,1,2007,218.803977,VALUE (R$)
ELETRO12_CEETIND12,1,2,2007,212.852149,VALUE (R$)
ELETRO12_CEETIND12,1,3,2007,213.035619,VALUE (R$)
ELETRO12_CEETIND12,1,4,2007,212.833868,VALUE (R$)
ELETRO12_CEETIND12,1,5,2007,228.938554,VALUE (R$)
ELETRO12_CEETIND12,1,6,2007,231.974415,VALUE (R$)
ELETRO12_CEETIND12,1,7,2007,230.676374,VALUE (R$)
ELETRO12_CEETIND12,1,8,2007,229.825658,VALUE (R$)
ELETRO12_CEETIND12,1,9,2007,224.434003,VALUE (R$)
ELETRO12_CEETIND12,1,10,2007,226.178051,VALUE (R$)
ELETRO12_CEETIND12,1,11,2007,224.231193,VALUE (R$)
ELETRO12_CEETIND12,1,12,2007,212.940643,VALUE (R$)
ELETRO12_CEETIND12,1,1,2008,213.704466,VALUE (R$)
ELETRO12_CEETIND12,1,2,2008,207.979566,VALUE (R$)
ELETRO12_CEETIND12,1,3,2008,209.622951,VALUE (R$)
ELETRO12_CEETIND12,1,4,2008,207.484662,VALUE (R$)
ELETRO12_CEETIND12,1,5,2008,214.186406,VALUE (R$)
ELETRO12_CEETIND12,1,6,2008,215.821136,VALUE (R$)
ELETRO12_CEETIND12,1,7,2008,214.127701,VALUE (R$)
ELETRO12_CEETIND12,1,8,2008,216.011418,VALUE (R$)
ELETRO12_CEETIND12,1,9,2008,217.099619,VALUE (R$)
ELETRO12_CEETIND12,1,10,2008,217.662986,VALUE (R$)
ELETRO12_CEETIND12,1,11,2008,222.745774,VALUE (R$)
ELETRO12_CEETIND12,1,12,2008,215.977594,VALUE (R$)
ELETRO12_CEETIND12,1,1,2009,223.414336,VALUE (R$)
ELETRO12_CEETIND12,1,2,2009,216.978255,VALUE (R$)
ELETRO12_CEETIND12,1,3,2009,215.308288,VALUE (R$)
ELETRO12_CEETIND12,1,4,2009,215.585343,VALUE (R$)
ELETRO12_CEETIND12,1,5,2009,235.69538,VALUE (R$)
ELETRO12_CEETIND12,1,6,2009,232.593724,VALUE (R$)
ELETRO12_CEETIND12,1,7,2009,231.561846,VALUE (R$)
ELETRO12_CEETIND12,1,8,2009,235.149089,VALUE (R$)
ELETRO12_CEETIND12,1,9,2009,235.165153,VALUE (R$)
ELETRO12_CEETIND12,1,10,2009,235.670771,VALUE (R$)
