CODE1,CODE2,CORRELATION,DELAY
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9422581373855132,-5
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9422562729714138,-8
FUNCEX12_XQPAP2N12,IGP12_IGPOG12,0.9422421364817404,-11
ELETRO12_CEERES12,IGP12_IGPOG12,0.9422037840784546,-11
ELETRO12_CEEOUT12,FUNCEX12_MQPES2N12,0.9421984305475024,-2
FUNCEX12_MPAL2N12,FUNCEX12_MVPLAS2N12,0.942163119291748,-1
FUNCEX12_MVMNM2N12,FUNCEX12_XPT12,0.9421035067762278,-1
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9420766767237786,10
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9420120975668512,10
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.942009372913452,-1
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9419693053670896,5
FUNCEX12_MVMNM2N12,FUNCEX12_XPB12,0.9417765612785008,-4
FUNCEX12_MPBEB2N12,FUNCEX12_MPPLAS2N12,0.9417592096891544,-2
FUNCEX12_MVMAQEQU2N12,FUNCEX12_XPT12,0.9417436778861168,-2
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9417232880417936,4
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.94171140198969,-1
FUNCEX12_MPAL2N12,FUNCEX12_MPQUIM2N12,0.9417039914825044,2
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9416967860613472,3
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9416753183955362,8
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9416604447691952,10
FUNCEX12_XPT12,BPAG12_SERTRANSD12,0.9416598554183292,-2
ABATE12_ABQUSU12,IGP12_IPAA12,0.9416235127082204,-9
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9416188856067766,5
ELETRO12_CEETIND12,IGP12_IPAA12,0.9415728891747585,-10
FUNCEX12_XPM12,BPAG12_SERTRANSD12,0.9415545672866557,-1
ABATE12_ABQUSU12,IGP12_IPAI12,0.9415534253949106,3
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9415412556699048,-4
ELETRO12_CEEOUT12,FUNCEX12_XQFARM2N12,0.9415344989293044,-4
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.9415223788951744,2
FUNCEX12_MVPLAS2N12,FUNCEX12_XPM12,0.941504078086536,-1
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9414656772700656,1
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.941459376026069,-3
FUNCEX12_MPAGP2N12,FUNCEX12_XPB12,0.9414320644925076,2
ABATE12_ABPESU12,IGP12_IPAI12,0.9414293791190408,1
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.941412312063314,9
BM12_DINGFN12,ABATE12_ABQUSU12,0.9413954409524492,6
FUNCEX12_XPB12,BPAG12_SERTRANSD12,0.9413460097200124,1
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9413422758782286,11
BM12_DINGFN12,IGP12_IGPOG12,0.9413241898300456,-11
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9413149867878472,-9
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9412464614029696,-12
FUNCEX12_MPAL2N12,FUNCEX12_XPS12,0.9411774016212556,-2
ELETRO12_CEEOUT12,IGP12_IGPF12,0.94113528225698,-9
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9410973197352775,-11
FUNCEX12_MVPLAS2N12,FUNCEX12_XPM12,0.941084695182946,1
BM12_DINGFN12,ABATE12_ABPESU12,0.941054182562026,8
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9409987048016164,-1
FUNCEX12_MPPLAS2N12,FUNCEX12_MPQUIM2N12,0.9409921941415316,-2
FUNCEX12_MPQUIM2N12,FUNCEX12_XPB12,0.9409678921925084,-2
FUNCEX12_XQPAP2N12,IGP12_IGPF12,0.9409477034217156,-11
FUNCEX12_MPAL2N12,FUNCEX12_XPT12,0.9409153420452178,-2
FUNCEX12_XPB12,FUNCEX12_XPM12,0.940902870906449,-1
ABATE12_ABPESU12,IGP12_IPAI12,0.9408394235659328,2
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9407903211718646,-10
FUNCEX12_MPAGP2N12,FUNCEX12_MPQUIM2N12,0.94074190959542,3
FUNCEX12_MPAL2N12,BPAG12_SERR12,0.940714636407495,3
ELETRO12_CEERES12,IGP12_IGPF12,0.9407053294370752,-11
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9406681751993564,-2
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9406648951024628,8
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9406189412621792,-1
