CODE,DESCRICAO,GRANDE_TEMA,FONTE,MEDIDA
BM12_FRFCN12,Meio de pagamento ampliado - M3 - quotas de fundos de renda fixa - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FCTN12,Fatores condicionantes da base monetária - Tesouro Nacional,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_FRFCNY12,Meio de pagamento ampliado - M3 - quotas de fundos de renda fixa  -fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_M0MN12,Base monetária restrita - M0 - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M0N12,Base monetária restrita - M0 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M0NY12,Base monetária restrita - M0 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_M1MN12,Meio de pagamento restrito - M1 - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M1N12,Meio de pagamento restrito - M1 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M1NY12,Meio de pagamento restrito - M1 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_M2NCNY12,Meio de pagamento ampliado - M2 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_M2NCN12,Meio de pagamento ampliado - M2 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M3NCN12,Meio de pagamento ampliado - M3 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M3NCNY12,Meio de pagamento ampliado - M3 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_M4NCN12,Meio de pagamento ampliado -  M4  -  fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_M4NCNY12,Meio de pagamento ampliado - M4 - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_OPTFCN12,Meio de pagamento ampliado - M3 - operações compromissadas com títulos federais - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_OPTFCNY12,Meio de pagamento ampliado - M3 - operações compromissadas com títulos federais - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_PMEM12,Base Monetária restrita - M0 - papel-moeda emitido - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_PME12,Base Monetária restrita - M0 - papel-moeda emitido - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_RBM12,Base Monetária restrita - M0 - reservas bancárias - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_PMPPM12,Meio de pagamento Restrito - M1 - papel-moeda em poder do público - média,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_REB12,Base Monetária restrita - M0 - reservas bancárias - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_TFPPNCNY12,Meio de pagamento ampliado - M4 - títulos federais (Selic) - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
BM12_TIPRINCN12,Meio de pagamento ampliado - M2 - títulos privados - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
BM12_TIPRINCNY12,Meio de pagamento ampliado - M2 - títulos privados - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",(% PIB)
